ID_UC_G0,GC_UCN_MAI_2025,GC_UCN_LIS_2025,GC_CNT_GAD_2025,GC_CNT_UNN_2025,GC_UCA_KM2_2025,GC_POP_TOT_2025,GC_DEV_WIG_2025,GC_DEV_USR_2025,GC_PLS_SCR_2025,GC_UCB_YOB_2025,GC_UCB_YOD_2025,GC_UCM_CAP
5876,Bedford,Bedford; Kempston,United Kingdom,United Kingdom,29,107555.661,High income,Europe,High,1975,2030,0
5877,Aisegba,Aisegba,Nigeria,Nigeria,7,53761.52739,Lower Middle,Sub-Saharan Africa,High,2025,2030,0
5878,Samba,Samba,Democratic Republic of the Congo,Democratic Republic of the Congo,7,67210.66078,Low income,Sub-Saharan Africa,High,2000,2030,0
5879,Mallawi,Mallawi,Egypt,Egypt,28,324903.604,Lower Middle,Northern Africa and Western Asia,High,1975,2030,0
5880,Osmaniye,Osmaniye,Turkey,Turkey,29,297347.7728,Upper Middle,Northern Africa and Western Asia,High,1975,2030,0
5881,Saratov,Saratov,Russia,Russian Federation,147,761437.2728,Upper Middle,Europe,High,1975,2030,0
5882,Mekane Selam,Mekane Selam,Ethiopia,Ethiopia,11,75349.75642,Low income,Sub-Saharan Africa,High,1975,2030,0
5884,Shahdadpur,Shahdadpur,Pakistan,Pakistan,11,131864.6819,Lower Middle,Central and Southern Asia,High,1985,2030,0
5885,Rampura Phul,Rampura Phul,India,India,9,55418.96279,Lower Middle,Central and Southern Asia,High,2005,2030,0
5886,Phulbaria,Phulbaria,Bangladesh,Bangladesh,48,123041.2592,Lower Middle,Central and Southern Asia,High,1975,2030,0
5887,Pingliang,Pingliang,China,China,27,461066.2075,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5888,Kawthaung,Kawthaung,Myanmar,Myanmar,16,100046.7114,Lower Middle,Eastern and South-Eastern Asia,High,1995,2030,0
5889,Quảng Phú,Quảng Phú,Vietnam,Viet Nam,9,59309.66929,Lower Middle,Eastern and South-Eastern Asia,High,2010,2030,0
5890,Hegarsari,Hegarsari; Talagasari; Kadungora; Gandamekar; Neglasari; Dungusiku; Karangsari; Tambaksari; Leuwigoong; Cibiuk Kaler; Cibatu; Keresek; Sindangsuka; Cibunar; Maripari; Sukahaji; Wanakerta; Mekarbakti; Cisaat; Cikembulan; Harumansari; Cipareuan; Cibiuk Kidul; Lingkung Pasir; Karanganyar,Indonesia,Indonesia,93,332463.0148,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5891,Kumagaya,Kumagaya,Japan,Japan,26,73610.41254,High income,Eastern and South-Eastern Asia,High,1975,2030,0
5892,Santo Tomas,Santo Tomas,Philippines,Philippines,13,56207.45251,Lower Middle,Eastern and South-Eastern Asia,High,2025,2030,0
5893,Huajuapan,Huajuapan,México,Mexico,19,72744.05504,Upper Middle,Latin America and the Caribbean,High,2010,2030,0
5894,Abilene,Abilene,United States,United States of America,49,62023.67675,High income,Northern America,High,2005,2030,0
5895,Guaíba,Guaíba,Brazil,Brazil,26,65030.94156,Upper Middle,Latin America and the Caribbean,High,1990,2030,0
5896,Hemel Hempstead,Hemel Hempstead,United Kingdom,United Kingdom,25,86406.14356,High income,Europe,High,1975,2030,0
5897,Ikole,Ikole,Nigeria,Nigeria,20,168771.4101,Lower Middle,Sub-Saharan Africa,High,1975,2030,0
5898,Mangi 1,Mangi 1,Democratic Republic of the Congo,Democratic Republic of the Congo,13,100232.657,Low income,Sub-Saharan Africa,Medium,2015,2030,0
5899,Kafr al Hajj Shirbini,-,Egypt,Egypt,18,84714.99744,Lower Middle,Northern Africa and Western Asia,High,2010,2030,0
5900,Samandağ,Samandağ,Turkey,Turkey,22,127080.3839,Upper Middle,Northern Africa and Western Asia,High,2000,2030,0
5901,Kazan,Kazan,Russia,Russian Federation,248,1127086.347,Upper Middle,Europe,High,1975,2030,0
5902,Wijigra,-,Ethiopia,Ethiopia,40,79944.14332,Low income,Sub-Saharan Africa,High,2025,2030,0
5903,ساحلی,ساحلی; jofreh mahini; Baft_e_Ghadim; Kooy-e-Bandar; City Center; Ashouri; عالی آباد; شهرک فضیلت; Sangi; Ariobarzan; هزار دستگاه; پایگاه هوایی; Shekari; Modares; Bahonar; Helali; Solh Abad; Bagh-e Zahra; Atashneshani; Bagh-e Nar; پودر; کوی فرهنگیان,Iran,Iran (Islamic Republic of),35,115169.0779,Lower Middle,Central and Southern Asia,High,2000,2030,0
5904,Dherai,Dherai; Bar; Cheena; Chinar Kalay; Rega; Sowari; Sunigram; Takhtaband,Pakistan,Pakistan,21,89636.29274,Lower Middle,Central and Southern Asia,High,2025,2030,0
5905,Pali,Pali,India,India,39,251607.6082,Lower Middle,Central and Southern Asia,High,1975,2030,0
5906,Khulna,Khulna,Bangladesh,Bangladesh,126,1081072.111,Lower Middle,Central and Southern Asia,High,1975,2030,0
5907,Maiji,Maiji,China,China,36,151104.6347,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5908,Bảo Lộc,Bảo Lộc,Vietnam,Viet Nam,34,145024.5058,Lower Middle,Eastern and South-Eastern Asia,High,1995,2030,0
5909,Pamanukan,Pamanukan,Indonesia,Indonesia,13,54951.51315,Upper Middle,Eastern and South-Eastern Asia,High,2000,2030,0
5910,Sano,Sano,Japan,Japan,23,50798.16608,High income,Eastern and South-Eastern Asia,High,1975,2025,0
5911,Panabo,Panabo,Philippines,Philippines,56,263555.5905,Lower Middle,Eastern and South-Eastern Asia,High,2000,2030,0
5912,Zacatelco,Zacatelco; Papalotla; Xicohtzinco; Tenancingo; San Juan Huactzinco; San Lorenzo Axocomanitla; Tepeyanco,México,Mexico,53,136461.4823,Upper Middle,Latin America and the Caribbean,High,2005,2030,0
5913,Colorado Springs,Colorado Springs,United States,United States of America,229,445670.1323,High income,Northern America,High,2000,2030,0
5914,Catanduva,Catanduva,Brazil,Brazil,30,109137.7044,Upper Middle,Latin America and the Caribbean,High,1985,2030,0
5915,Brighton,Brighton,United Kingdom,United Kingdom,107,456337.3137,High income,Europe,High,1975,2030,0
5916,Egbe,Egbe,Nigeria,Nigeria,11,126506.9562,Lower Middle,Sub-Saharan Africa,High,1985,2030,0
5917,Likasi,Likasi,Democratic Republic of the Congo,Democratic Republic of the Congo,65,712507.2887,Low income,Sub-Saharan Africa,High,1995,2030,0
5918,Al Zaqaziq,Al Zaqaziq,Egypt,Egypt,136,1296062.211,Lower Middle,Northern Africa and Western Asia,High,1975,2030,0
5919,İskenderun,İskenderun,Turkey,Turkey,70,387684.8713,Upper Middle,Northern Africa and Western Asia,High,1975,2030,0
5920,Cherkessk,Cherkessk,Russia,Russian Federation,36,137894.7985,Upper Middle,Europe,High,1975,2030,0
5922,Jalali,Jalali; Shoghab; آب‌شیرین کن; Davas; Mokh Boland; Daneshgah; Khaje-ha; Bahmani; Rishehr; Emam-Zadeh; SabzAbad; Sar-E-Tol; پایگاه دریایی; Tangak-Aval; تنگک دوم,Iran,Iran (Islamic Republic of),31,86716.13137,Lower Middle,Central and Southern Asia,High,2020,2030,0
