ID_UC_G0,GC_UCN_MAI_2025,GC_UCN_LIS_2025,GC_CNT_GAD_2025,GC_CNT_UNN_2025,GC_UCA_KM2_2025,GC_POP_TOT_2025,GC_DEV_WIG_2025,GC_DEV_USR_2025,GC_PLS_SCR_2025,GC_UCB_YOB_2025,GC_UCB_YOD_2025,GC_UCM_CAP
1,Apia,Apia,Samoa,Samoa,35,60041.65661,Lower Middle,Oceania,High,2025,2030,1
2,Nuku'alofa,Nuku'alofa,Tonga,Tonga,20,51990.7662,Upper Middle,Oceania,High,2025,2030,1
3,Ewa Beach,Ewa Beach,United States,United States of America,15,53720.65818,High income,Northern America,High,2025,2030,0
4,Papeete,Papeete,French Polynesia,French Polynesia,50,109747.1257,High income,Oceania,High,1980,2030,1
5,Rosarito,Rosarito,México,Mexico,29,76707.05999,Upper Middle,Latin America and the Caribbean,High,2015,2030,0
6,Victoria,Victoria,Canada,Canada,112,250759.7761,High income,Northern America,High,1975,2030,0
7,Malacatán,Malacatán,Guatemala,Guatemala,9,62529.1453,Upper Middle,Latin America and the Caribbean,High,2015,2030,0
8,Ahuachapan,Ahuachapan,El Salvador,El Salvador,19,83851.12663,Upper Middle,Latin America and the Caribbean,High,1980,2030,0
9,Santa Rosa,Santa Rosa,Honduras,Honduras,8,53613.32151,Lower Middle,Latin America and the Caribbean,High,2015,2030,0
10,Chinandega,Chinandega,Nicaragua,Nicaragua,15,104366.0248,Lower Middle,Latin America and the Caribbean,High,1975,2030,0
11,Belize City,Belize City,Belize,Belize,27,76330.51281,Upper Middle,Latin America and the Caribbean,High,2005,2030,0
12,Liberia,Liberia,Costa Rica,Costa Rica,13,52864.19541,Upper Middle,Latin America and the Caribbean,High,2020,2030,0
13,David,David,Panama,Panama,34,126994.9335,High income,Latin America and the Caribbean,High,1995,2030,0
14,Talara,Talara,Peru,Peru,16,79733.42422,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
15,Salinas [Santa Elena],Salinas; La Libertad,Ecuador,Ecuador,60,267482.0613,Upper Middle,Latin America and the Caribbean,High,1985,2030,0
16,San Andrés,San Andrés,Colombia,Colombia,13,59179.78244,Upper Middle,Latin America and the Caribbean,High,2005,2030,0
17,Pinar del Rio,Pinar del Rio,Cuba,Cuba,23,150118.8481,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
18,Montego Bay,Montego Bay,Jamaica,Jamaica,48,116517.2529,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
19,Nassau,Nassau,Bahamas,Bahamas,110,261235.2051,High income,Latin America and the Caribbean,High,1975,2030,1
20,Cruzeiro do Sul,Cruzeiro do Sul,Brazil,Brazil,13,63746.10474,Upper Middle,Latin America and the Caribbean,High,2015,2030,0
21,Ureña,Ureña,Venezuela,Venezuela (Bolivarian Republic of),10,50768.28206,Upper Middle,Latin America and the Caribbean,High,2025,2030,0
22,Jérémie,Jérémie,Haiti,Haiti,8,60004.22884,Lower Middle,Latin America and the Caribbean,High,2015,2030,0
23,Oranjestad,Oranjestad; Wayaca; Dakota,Aruba,Aruba,48,58101.1546,High income,Latin America and the Caribbean,High,2020,2030,1
24,Santa Cruz de Barahona,Santa Cruz de Barahona,Dominican Republic,Dominican Republic,18,78420.96092,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
25,Arica,Arica,Chile,Chile,35,121518.9626,High income,Latin America and the Caribbean,High,1975,2030,0
26,Willemstad,Willemstad,Curaçao,Curaçao,119,162058.5603,High income,Latin America and the Caribbean,High,2010,2030,1
27,Cobija,Cobija,Bolivia,Bolivia (Plurinational State of),12,71680.29271,Lower Middle,Latin America and the Caribbean,High,2020,2030,0
28,Ponce,Ponce,Puerto Rico,Puerto Rico,44,85911.66768,High income,Latin America and the Caribbean,High,1975,2030,0
29,San Juan,San Juan; Rivadavia,Argentina,Argentina,109,464848.0496,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
30,Port of Spain,Port of Spain,Trinidad and Tobago,Trinidad and Tobago,154,474069.7262,High income,Latin America and the Caribbean,High,1975,2030,1
31,Fort-de-France,Fort-de-France,Martinique,Martinique,43,91150.17104,-,Latin America and the Caribbean,High,1975,2030,0
32,Bridgetown,Bridgetown,Barbados,Barbados,82,152912.0999,High income,Latin America and the Caribbean,High,1975,2030,1
33,Georgetown,Georgetown; Vreed-En-Hoop,Guyana,Guyana,41,130680.0749,High income,Latin America and the Caribbean,High,1975,2030,1
34,Paramaribo,Paramaribo,Suriname,Suriname,102,253625.5111,Upper Middle,Latin America and the Caribbean,High,1975,2030,1
35,Concepción,Concepción,Paraguay,Paraguay,17,89487.14958,Upper Middle,Latin America and the Caribbean,High,2010,2030,0
36,Salto,Salto,Uruguay,Uruguay,22,96048.22189,High income,Latin America and the Caribbean,High,1975,2030,0
37,Cayenne,Cayenne,French Guiana,French Guiana,37,75925.31354,-,Latin America and the Caribbean,High,2010,2030,1
38,Mindelo,Mindelo,Cabo Verde,Cabo Verde,18,88273.87923,Lower Middle,Sub-Saharan Africa,High,2000,2030,0
39,Dakar,Dakar; Guédiawaye; Pikine; Rufisque,Senegal,Senegal,277,3970201.794,Lower Middle,Sub-Saharan Africa,High,1975,2030,1
40,Serrekunda,Serrekunda,Gambia,Gambia,181,1313464.797,Low income,Sub-Saharan Africa,High,1975,2030,0
41,Nouadhibou,Nouadhibou,Mauritania,Mauritania,38,177468.9802,Lower Middle,Sub-Saharan Africa,High,1995,2030,0
42,Los Cristianos,Los Cristianos,Spain,Spain,22,61040.00135,High income,Europe,High,2005,2030,0
43,Bissau,Bissau,Guinea-Bissau,Guinea-Bissau,83,674444.3312,Low income,Sub-Saharan Africa,High,1975,2030,1
44,Funchal,Funchal; Câmara de Lobos,Portugal,Portugal,46,135362.234,High income,Europe,High,1990,2030,0
45,Dakhla,Dakhla,Western Sahara,Western Sahara,33,180740.4758,-,Northern Africa and Western Asia,High,2005,2030,0
46,Kamsar,Kamsar,Guinea,Guinea,31,127957.5515,Lower Middle,Sub-Saharan Africa,High,1990,2030,0
47,Freetown,Freetown; Waterloo,Sierra Leone,Sierra Leone,205,2150532.945,Low income,Sub-Saharan Africa,High,1975,2030,1
48,Reykjavik,Reykjavik,Iceland,Iceland,97,206894.8836,High income,Europe,High,1975,2030,1
49,Kayes,Kayes,Mali,Mali,43,287390.9855,Low income,Sub-Saharan Africa,High,1990,2030,0
50,Monrovia,Monrovia,Liberia,Liberia,302,2049817.566,Low income,Sub-Saharan Africa,High,1975,2030,1
52,Danané,Danané,Côte d'Ivoire,Côte d'Ivoire,17,101136.3078,Lower Middle,Sub-Saharan Africa,High,1995,2030,0
53,Galway,Galway,Ireland,Ireland,36,73625.4237,High income,Europe,High,2000,2030,0
54,Derry/Londonderry,Derry/Londonderry,United Kingdom,United Kingdom,29,70080.19886,High income,Europe,High,1975,2030,0
55,Niangoloko,Niangoloko,Burkina Faso,Burkina Faso,14,73780.51196,Low income,Sub-Saharan Africa,High,2020,2030,0
56,Brest,Brest,France,France,42,127488.8141,High income,Europe,High,1975,2030,0
57,Dormaa Ahenkro,Dormaa Ahenkro,Ghana,Ghana,17,84688.8429,Lower Middle,Sub-Saharan Africa,High,2005,2030,0
58,Bechar,Bechar,Algeria,Algeria,30,200687.224,Lower Middle,Northern Africa and Western Asia,High,1985,2030,0
59,St. Helier,St. Helier; St. Saviour,Jersey,Jersey,24,58332.71829,High income,Europe,High,2015,2030,1
60,Cinkassé,Cinkassé,Togo,Togo,15,77949.04564,Low income,Sub-Saharan Africa,High,2000,2030,0
61,Téra,Téra,Niger,Niger,8,98781.27049,Low income,Sub-Saharan Africa,High,1985,2030,0
62,Tanguieta,Tanguieta,Benin,Benin,11,51645.32078,Lower Middle,Sub-Saharan Africa,High,2020,2030,0
63,Ostend,Ostend,Belgium,Belgium,35,82243.27412,High income,Europe,High,1975,2030,0
64,Idi-Iroko,Idi-Iroko; Ipokia,Nigeria,Nigeria,19,120092.9649,Lower Middle,Sub-Saharan Africa,High,2005,2030,0
65,Maasvlakte,Maasvlakte; Slag Maasmond,Netherlands,Netherlands,26,53774.57522,High income,Europe,High,2025,2030,0
66,Bergen,Bergen,Norway,Norway,50,138237.0852,High income,Europe,High,1975,2030,0
67,Aachen,Aachen,Germany,Germany,60,218507.0053,High income,Europe,High,1975,2030,0
68,Luxembourg,Luxembourg,Luxembourg,Luxembourg,40,161302.506,High income,Europe,High,1975,2030,1
69,Geneva,Geneva,Switzerland,Switzerland,74,433727.0321,High income,Europe,High,1975,2030,0
70,Turin,Turin,Italy,Italy,212,1243448.069,High income,Europe,High,1975,2030,0
71,São Tomé,São Tomé,São Tomé and Príncipe,Sao Tome and Principe,35,154878.0805,Lower Middle,Sub-Saharan Africa,High,1990,2030,1
72,Aalborg,Aalborg,Denmark,Denmark,41,101028.5999,High income,Europe,High,1975,2030,0
73,Bregenz,Bregenz,Austria,Austria,20,51519.49397,High income,Europe,High,2025,2030,0
74,Al-Kaf,Al-Kaf,Tunisia,Tunisia,11,50808.68934,Lower Middle,Northern Africa and Western Asia,High,2000,2025,0
75,Gothenburg,Gothenburg,Sweden,Sweden,191,599675.2527,High income,Europe,High,1975,2030,0
76,Malabo,Malabo,Equatorial Guinea,Equatorial Guinea,71,729478.227,Upper Middle,Sub-Saharan Africa,High,1995,2030,1
77,Port-Gentil,Port-Gentil,Gabon,Gabon,38,103562.4293,Upper Middle,Sub-Saharan Africa,High,1975,2030,0
78,Limbe,Limbe,Cameroon,Cameroon,35,210456.087,Lower Middle,Sub-Saharan Africa,High,1975,2030,0
79,Pilsen,Pilsen,Czechia,Czechia,51,146255.3815,High income,Europe,High,1975,2030,0
80,Szczecin,Szczecin,Poland,Poland,78,311037.1241,High income,Europe,High,1975,2030,0
81,Al Zawiyah,Al Zawiyah; Surman,Libya,Libya,115,210856.6457,Upper Middle,Northern Africa and Western Asia,High,2000,2030,0
82,Ljubljana,Ljubljana,Slovenia,Slovenia,65,252735.8561,High income,Europe,High,1975,2030,1
83,Rijeka,Rijeka,Croatia,Croatia,41,115636.247,High income,Europe,High,1975,2030,0
84,Tômbua,Tômbua,Angola,Angola,9,78748.71133,Lower Middle,Sub-Saharan Africa,High,2015,2030,0
85,Pointe-Noire,Pointe-Noire,Republic of the Congo,Congo,182,665655.8464,Lower Middle,Sub-Saharan Africa,High,1975,2030,0
86,Moanda,Moanda,Democratic Republic of the Congo,Democratic Republic of the Congo,25,76337.06924,Low income,Sub-Saharan Africa,High,1975,2030,0
87,Valletta,Valletta,Malta,Malta,100,366065.5113,High income,Europe,High,1975,2030,1
88,Sopron,Sopron,Hungary,Hungary,14,55594.443,High income,Europe,High,2015,2030,0
89,Bratislava,Bratislava,Slovakia,Slovakia,84,310203.9225,High income,Europe,High,1975,2030,1
90,Walvis Bay,Walvis Bay,Namibia,Namibia,24,84904.15708,Upper Middle,Sub-Saharan Africa,High,2010,2030,0
91,Banja Luka,Banja Luka,Bosnia and Herzegovina,Bosnia and Herzegovina,28,90139.76976,Upper Middle,Europe,High,1975,2030,0
92,Léré,Léré,Chad,Chad,14,74772.16287,Low income,Sub-Saharan Africa,Medium,2015,2030,0
93,Turku,Turku,Finland,Finland,23,104248.0551,High income,Europe,High,1975,2030,0
94,Kaliningrad,Kaliningrad,Russia,Russian Federation,102,438434.9947,Upper Middle,Europe,High,1975,2030,0
95,Klaipėda,Klaipėda,Lithuania,Lithuania,37,103209.9429,High income,Europe,High,1975,2030,0
96,Bouar,Bouar,Central African Republic,Central African Republic,13,71859.10554,Low income,Sub-Saharan Africa,High,2005,2030,0
97,Subotica,Subotica,Serbia,Serbia,25,79457.42584,Upper Middle,Europe,High,1975,2030,0
98,Nikšić,Nikšić,Montenegro,Montenegro,15,52874.53621,Upper Middle,Europe,High,1985,2025,0
99,Tallinn,Tallinn,Estonia,Estonia,121,449860.9731,High income,Europe,High,1975,2030,1
100,Tierkloof,Tierkloof; Vredenburg,South Africa,South Africa,10,52800.97695,Upper Middle,Sub-Saharan Africa,High,2025,2030,0
101,Shkoder,Shkoder,Albania,Albania,17,77144.26737,Upper Middle,Europe,High,1985,2030,0
102,Riga,Riga,Latvia,Latvia,147,516896.7559,High income,Europe,High,1975,2030,1
103,Pejë,Pejë,Kosovo,Kosovo (under UNSC res. 1244),11,58701.69806,Upper Middle,Europe,High,1975,2030,0
104,Arad,Arad,Romania,Romania,36,120148.544,High income,Europe,High,1975,2030,0
105,Hrodna,Hrodna,Belarus,Belarus,55,395329.5396,Upper Middle,Europe,High,1975,2030,0
106,Uzhhorod,Uzhhorod,Ukraine,Ukraine,32,121221.6873,Lower Middle,Europe,High,1975,2030,0
107,Gostivar,Gostivar,North Macedonia,North Macedonia,12,50728.96139,Upper Middle,Europe,High,2005,2030,0
108,Ioannina,Ioannina,Greece,Greece,21,94899.50257,High income,Europe,High,1990,2030,0
109,Sofia,Sofia,Bulgaria,Bulgaria,201,1068056.502,Upper Middle,Europe,High,1975,2030,1
110,Bălți,Bălți,Moldova,Republic of Moldova,21,53610.23357,Upper Middle,Europe,High,1975,2030,0
111,El Geneina,El Geneina,Sudan,Sudan,23,164688.1184,Low income,Northern Africa and Western Asia,High,1975,2030,0
112,Edirne,Edirne; Edirne,Turkey,Turkey,15,143148.0596,Upper Middle,Northern Africa and Western Asia,High,1980,2030,0
113,Mongu,Mongu,Zambia,Zambia,33,121413.393,Lower Middle,Sub-Saharan Africa,High,1990,2030,0
114,Kanye,Kanye,Botswana,Botswana,27,52205.61235,Upper Middle,Sub-Saharan Africa,High,2025,2030,0
115,Marsa Matruh,Marsa Matruh,Egypt,Egypt,58,191312.9069,Lower Middle,Northern Africa and Western Asia,High,2000,2030,0
116,Maseru,Maseru,Lesotho,Lesotho,110,296516.0661,Lower Middle,Sub-Saharan Africa,High,1980,2030,1
117,Bulawayo,Bulawayo,Zimbabwe,Zimbabwe,173,492010.9037,Lower Middle,Sub-Saharan Africa,High,1975,2030,0
118,Wau,Wau,South Sudan,South Sudan,31,115385.1009,Low income,Sub-Saharan Africa,High,1975,2030,0
119,Pafos,Pafos,Cyprus,Cyprus,31,60664.89147,High income,Northern Africa and Western Asia,High,2020,2030,0
120,Cibitoke,Cibitoke,Burundi,Burundi,8,56028.19568,Low income,Sub-Saharan Africa,High,2020,2030,0
121,Rubavu,Rubavu,Rwanda,Rwanda,70,342554.9873,Low income,Sub-Saharan Africa,High,1985,2030,0
122,Manzini,Manzini,Swaziland,Eswatini,34,93405.68221,Lower Middle,Sub-Saharan Africa,High,2025,2030,0
123,Nicosia,Nicosia,Northern Cyprus,Cyprus,38,108410.3227,High income,Northern Africa and Western Asia,High,1985,2030,1
124,Kigoma,Kigoma,Tanzania,United Republic of Tanzania,74,347891.7651,Lower Middle,Sub-Saharan Africa,High,1975,2030,0
125,Bwera,Bwera,Uganda,Uganda,41,123131.252,Low income,Sub-Saharan Africa,High,2005,2030,0
126,Matola-Rio,-,Mozambique,Mozambique,30,54128.19009,Low income,Sub-Saharan Africa,High,2025,2030,0
127,Khan Yunis,Khan Yunis,Palestine,State of Palestine,101,550993.4812,Upper Middle,Northern Africa and Western Asia,High,1975,2030,0
128,Ashkelon,Ashkelon,Israel,Israel,23,105811.6747,High income,Northern Africa and Western Asia,High,1975,2030,0
129,Latakia,Latakia,Syria,Syrian Arab Republic,60,573263.0263,Low income,Northern Africa and Western Asia,High,1975,2030,0
130,Tyre,Tyre,Lebanon,Lebanon,23,86568.56985,Lower Middle,Northern Africa and Western Asia,High,1995,2030,0
131,Aqaba,Aqaba,Jordan,Jordan,26,118598.6364,Lower Middle,Northern Africa and Western Asia,High,2000,2030,0
133,Kasungu,Kasungu,Malawi,Malawi,15,59047.0707,Low income,Sub-Saharan Africa,High,2025,2030,0
134,Tabuk,Tabuk,Saudi Arabia,Saudi Arabia,86,586538.0355,High income,Northern Africa and Western Asia,High,1985,2030,0
135,Busia,Busia,Kenya,Kenya,17,86348.98529,Lower Middle,Sub-Saharan Africa,High,2000,2030,0
136,Batumi,Batumi,Georgia,Georgia,27,168437.8865,Upper Middle,Northern Africa and Western Asia,High,1975,2030,0
137,Teseney,Teseney,Eritrea,Eritrea,13,98083.8909,Low income,Sub-Saharan Africa,High,1975,2030,0
138,Al-Qa'im,Al-Qa'im,Iraq,Iraq,24,116439.678,Upper Middle,Northern Africa and Western Asia,High,2000,2030,0
139,Gyumri,Gyumri,Armenia,Armenia,23,84759.79001,Upper Middle,Northern Africa and Western Asia,High,1975,2030,0
140,Showt,Showt,Iran,Iran (Islamic Republic of),7,90187.67241,Lower Middle,Central and Southern Asia,High,2000,2030,0
141,Oral,Oral,Kazakhstan,Kazakhstan,49,173858.1385,Upper Middle,Central and Southern Asia,High,1975,2030,0
142,Nakhchivan,Nakhchivan,Azerbaijan,Azerbaijan,22,175330.7952,Upper Middle,Northern Africa and Western Asia,High,1980,2030,0
143,Derbent,Derbent,Russia,Russian Federation,21,112956.1336,Upper Middle,Europe,High,1975,2030,0
144,Dhobley,Dhobley,Somalia,Somalia,6,57159.53044,Low income,Sub-Saharan Africa,Low,2020,2030,0
145,Toliara,Toliara,Madagascar,Madagascar,28,118186.7567,Low income,Sub-Saharan Africa,High,2015,2030,0
146,Harad,Harad,Yemen,Yemen,10,61332.38088,Low income,Northern Africa and Western Asia,Medium,2015,2030,0
147,Ali Sabieh,Ali Sabieh,Djibouti,Djibouti,5,86780.63403,Lower Middle,Sub-Saharan Africa,High,2000,2030,0
148,Moroni,Moroni,Comoros,Comoros,36,175832.4714,Lower Middle,Sub-Saharan Africa,High,1985,2030,1
149,Al Jahra,Al Jahra,Kuwait,Kuwait,23,85787.20781,High income,Northern Africa and Western Asia,High,1995,2030,0
150,Mamoudzou,Mamoudzou; Koungou; Kawéni; Majicavo-Koropa,Mayotte,Mayotte,26,127510.6566,-,Sub-Saharan Africa,High,2005,2030,1
151,Turkmenbashy,Turkmenbashy,Turkmenistan,Turkmenistan,16,54954.90445,Upper Middle,Central and Southern Asia,High,2025,2030,0
152,Manama,Manama; Riffa; A'ali; Muharraq,Bahrain,Bahrain,273,1361833.134,High income,Northern Africa and Western Asia,High,1975,2030,1
153,Doha,Doha; Al Rayyan,Qatar,Qatar,392,1980416.128,High income,Northern Africa and Western Asia,High,1975,2030,1
154,Kungrad,Kungrad; Altinkul,Uzbekistan,Uzbekistan,23,63185.46817,Lower Middle,Central and Southern Asia,High,2015,2030,0
155,Al Ruways Industrial city,-,United Arab Emirates,United Arab Emirates,22,53687.10991,High income,Northern Africa and Western Asia,High,2010,2025,0
156,Salalah,Salalah,Oman,Oman,50,247073.2084,High income,Northern Africa and Western Asia,High,1995,2030,0
157,Le Port,Le Port,Réunion,Réunion,52,105572.3109,-,Sub-Saharan Africa,High,2000,2030,0
158,Islam Qala,Islam Qala,Afghanistan,Afghanistan,10,60028.41972,Low income,Central and Southern Asia,High,2025,2030,0
159,Port Louis,Port Louis; Vacoas-Phoenix; Beau Bassin-Rose Hill; Quatre Bornes; Curepipe,Mauritius,Mauritius,136,557430.5551,Upper Middle,Sub-Saharan Africa,High,1975,2030,1
160,Nijoni,Nijoni,Tajikistan,Tajikistan,6,55619.48537,Lower Middle,Central and Southern Asia,High,2020,2030,0
161,Gwādar,Gwādar,Pakistan,Pakistan,20,92523.07042,Lower Middle,Central and Southern Asia,High,1985,2030,0
162,Kara-Balta,Kara-Balta,Kyrgyzstan,Kyrgyzstan,30,62857.71155,Lower Middle,Central and Southern Asia,High,2020,2030,0
163,Kashgar,Kashgar,China,China,57,498252.3938,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
164,Kralpora,Kralpora,India,India,142,387660.4724,Lower Middle,Central and Southern Asia,High,1995,2030,0
165,Malé,Malé,Maldives,Maldives,13,229283.1943,Upper Middle,Central and Southern Asia,High,1990,2030,1
166,Babathan,Babathan,Nepal,Nepal,40,105155.6145,Lower Middle,Central and Southern Asia,High,2020,2030,0
167,Jaffna,Jaffna,Sri Lanka,Sri Lanka,77,199496.8767,Lower Middle,Central and Southern Asia,High,1975,2030,0
168,Erdenet,Erdenet,Mongolia,Mongolia,18,97742.69941,Lower Middle,Eastern and South-Eastern Asia,High,2000,2030,0
169,Thakurgaon,Thakurgaon,Bangladesh,Bangladesh,28,258371.3805,Lower Middle,Central and Southern Asia,High,1975,2030,0
170,Phuntsholing,Phuntsholing,Bhutan,Bhutan,3,76648.17601,Lower Middle,Central and Southern Asia,Medium,1975,2030,0
171,Kyauktaw,Kyauktaw,Myanmar,Myanmar,7,70158.66716,Lower Middle,Eastern and South-Eastern Asia,Low,1985,2030,0
172,Banda Aceh,Banda Aceh,Indonesia,Indonesia,103,361009.8213,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
173,Chiang Mai,Chiang Mai,Thailand,Thailand,225,692241.9926,Upper Middle,Eastern and South-Eastern Asia,High,1985,2030,0
174,Luang Prabang,Luang Prabang,Laos,Lao People's Democratic Republic,18,64254.19015,Lower Middle,Eastern and South-Eastern Asia,High,2010,2030,0
175,Điện Biên Phủ,Điện Biên Phủ,Vietnam,Viet Nam,17,58921.92219,Lower Middle,Eastern and South-Eastern Asia,High,2010,2030,0
176,George Town,George Town; George Town,Malaysia,Malaysia,134,756640.6066,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
177,Sampov Lun,-,Cambodia,Cambodia,10,79073.75538,Lower Middle,Eastern and South-Eastern Asia,High,2020,2030,0
178,Singapore,Singapore,Singapore,Singapore,438,5117758.838,High income,Eastern and South-Eastern Asia,High,1975,2030,1
179,Mandurah,Mandurah,Australia,Australia,81,85037.86382,High income,Australia and New Zealand,High,2020,2030,0
180,Sinuiju,Sinuiju,North Korea,Dem. People's Republic of Korea,23,308839.8878,Low income,Eastern and South-Eastern Asia,High,1975,2030,0
181,Daegot,Daegot,South Korea,Republic of Korea,27,69843.57203,High income,Eastern and South-Eastern Asia,High,2015,2030,0
182,Dazhuang,Dazhuang; Luliao,Taiwan,"China, Taiwan Province of China",87,244948.877,High income,Eastern and South-Eastern Asia,High,1975,2030,0
183,Bandar Seri Begawan,Bandar Seri Begawan,Brunei,Brunei Darussalam,37,77223.5136,High income,Eastern and South-Eastern Asia,High,2010,2030,1
184,Otaru,Otaru,Japan,Japan,33,94127.76344,High income,Eastern and South-Eastern Asia,High,1975,2030,0
185,Laoag,Laoag,Philippines,Philippines,28,105064.4204,Lower Middle,Eastern and South-Eastern Asia,High,1995,2030,0
186,Dili,Dili,Timor-Leste,Timor-Leste,46,381794.1787,Lower Middle,Eastern and South-Eastern Asia,High,1975,2030,1
187,Dunedin,Dunedin,New Zealand,New Zealand,46,84080.12969,High income,Australia and New Zealand,High,1975,2030,0
189,Honiara,Honiara,Solomon Islands,Solomon Islands,39,137201.4211,Lower Middle,Oceania,High,2000,2030,1
190,Nouméa,Nouméa,New Caledonia,New Caledonia,76,153190.4912,High income,Oceania,High,1985,2030,1
191,Port Vila,Port Vila,Vanuatu,Vanuatu,34,72613.04782,Lower Middle,Oceania,High,2020,2030,1
192,Lautoka,Lautoka,Fiji,Fiji,22,53550.44076,Upper Middle,Oceania,High,2010,2030,0
193,Honolulu,Honolulu; Waipahu; Pearl City; Aiea,United States,United States of America,177,541956.7544,High income,Northern America,High,1975,2030,0
194,Fracc Villas del Real 2da Seccion,-,México,Mexico,17,60404.09164,Upper Middle,Latin America and the Caribbean,High,2015,2030,0
195,Nanaimo,Nanaimo,Canada,Canada,49,78391.23222,High income,Northern America,High,2010,2030,0
196,Coatepeque,Coatepeque,Guatemala,Guatemala,20,100000.5741,Upper Middle,Latin America and the Caribbean,High,1995,2030,0
197,Sonsonate,Sonsonate,El Salvador,El Salvador,33,181726.1955,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
198,Cofradía,Cofradía,Honduras,Honduras,20,97875.68789,Lower Middle,Latin America and the Caribbean,High,2020,2030,0
199,León,León,Nicaragua,Nicaragua,28,155984.7874,Lower Middle,Latin America and the Caribbean,High,1975,2030,0
200,Barranca,Barranca; El Roble; Chacarita,Costa Rica,Costa Rica,21,65404.95356,Upper Middle,Latin America and the Caribbean,High,2025,2030,0
201,Paita,Paita,Peru,Peru,17,99936.3643,Upper Middle,Latin America and the Caribbean,High,2000,2030,0
202,Manta,Manta,Ecuador,Ecuador,61,284614.4637,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
203,Colón,Colón,Panama,Panama,50,187545.5842,High income,Latin America and the Caribbean,High,2000,2030,0
204,Tumaco,Tumaco,Colombia,Colombia,25,118072.3984,Upper Middle,Latin America and the Caribbean,High,1985,2030,0
205,Artemisa,Artemisa,Cuba,Cuba,8,54452.06502,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
206,Mandeville,Mandeville,Jamaica,Jamaica,31,96832.16313,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
207,San Antonio del Táchira,San Antonio del Táchira,Venezuela,Venezuela (Bolivarian Republic of),7,52514.10676,Upper Middle,Latin America and the Caribbean,High,2015,2030,0
208,Les Cayes,Les Cayes,Haiti,Haiti,17,83542.87306,Lower Middle,Latin America and the Caribbean,High,2000,2030,0
209,San Juan de la Maguana,San Juan de la Maguana,Dominican Republic,Dominican Republic,14,63926.30407,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
210,Iquique,Iquique,Chile,Chile,51,316450.4212,High income,Latin America and the Caribbean,High,1975,2030,0
211,Rio Branco,Rio Branco,Brazil,Brazil,72,330538.5819,Upper Middle,Latin America and the Caribbean,High,1980,2030,0
212,La Paz,El Alto; La Paz,Bolivia,Bolivia (Plurinational State of),291,2063632.692,Lower Middle,Latin America and the Caribbean,High,1975,2030,1
213,Bayamón [San Juan],Bayamón; Río Piedras,Puerto Rico,Puerto Rico,309,748533.7858,High income,Latin America and the Caribbean,High,1975,2030,1
214,Mendoza,Mendoza,Argentina,Argentina,208,1063216.859,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
215,San Fernando,San Fernando,Trinidad and Tobago,Trinidad and Tobago,53,119286.1527,High income,Latin America and the Caribbean,High,1975,2030,0
216,Paradise,Paradise,Guyana,Guyana,41,103152.3946,High income,Latin America and the Caribbean,High,1975,2030,0
217,Asuncion,Asuncion; San Lorenzo; Fernando de la Mora; Lambaré; Capiatá; Luque; Ñemby; Villa Elisa; Mariano Roque Alonso,Paraguay,Paraguay,383,1175481.866,Upper Middle,Latin America and the Caribbean,High,1975,2030,1
218,Paysandú,Paysandú,Uruguay,Uruguay,26,82193.38372,High income,Latin America and the Caribbean,High,1980,2030,0
219,João Teves,João Teves,Cabo Verde,Cabo Verde,24,161477.1755,Lower Middle,Sub-Saharan Africa,Low,1975,2030,0
220,M'bour,M'bour,Senegal,Senegal,81,506407.1053,Lower Middle,Sub-Saharan Africa,High,1975,2030,0
221,Brikama,Brikama,Gambia,Gambia,29,213625.807,Low income,Sub-Saharan Africa,High,2000,2030,0
222,Nouakchott,Nouakchott,Mauritania,Mauritania,178,1625383.896,Lower Middle,Sub-Saharan Africa,High,1975,2030,1
223,La Orotava,La Orotava; Puerto de la Cruz,Spain,Spain,18,54942.8139,High income,Europe,High,2010,2030,0
224,Bafatá,Bafatá,Guinea-Bissau,Guinea-Bissau,10,69724.70242,Low income,Sub-Saharan Africa,High,2010,2030,0
225,Boké,Boké,Guinea,Guinea,15,58796.60876,Lower Middle,Sub-Saharan Africa,High,2015,2030,0
226,Boujdour,Boujdour,Western Sahara,Western Sahara,9,52091.03669,-,Northern Africa and Western Asia,High,2025,2030,0
227,Mahera,Mahera,Sierra Leone,Sierra Leone,24,97367.24621,Low income,Sub-Saharan Africa,High,2015,2030,0
228,Kakata,Kakata,Liberia,Liberia,15,78566.32827,Low income,Sub-Saharan Africa,High,2010,2030,0
229,Kita,Kita,Mali,Mali,16,80559.87679,Low income,Sub-Saharan Africa,High,2015,2030,0
