category|osm_id|lat|lon|name
64|N4583333966|51.5066155|5.4921126|Kanaalbrug
64|N4583333967|51.5011763|5.4852653|Ekkersrijt 3300
64|N4583333968|51.4979988|5.4598808|Science Park Oost/5100
64|N4583333969|51.4977172|5.4533037|Science Park West/5700
64|N4583333970|51.3953671|5.4380367|Onze Lieve Vrouwedijk
64|N4583333971|51.3922421|5.4441298|Heistraat
64|N4583333972|51.3884841|5.4461617|Bergstraat
64|N4583333973|51.3882350|5.4501223|Eikenlaan
64|N4583333974|51.3896672|5.4538097|Bosweg
64|N4583333975|51.3919041|5.4598223|Ansbalduslaan
64|N4583333976|51.3930117|5.4721955|Michiel de Ruyterstraat
64|N4583333977|51.3969433|5.4861612|Sophiastraat
64|N4583333978|51.4013035|5.4858384|Voorbeeklaan
64|N4583333982|51.4959840|5.3955970|Wilhelminaplein
64|N4583642777|51.4827772|5.4511160|Artoislaan
64|N4583642778|51.4166584|5.4003879|Bossebaan
63|N4583642779|51.4125110|5.3850789|Veldhoven, Sondervick
64|N4583643612|51.4157387|5.4405220|Oldengaarde
64|N4583643613|51.4148516|5.4448233|Lichtenberg
64|N4583643616|51.4101564|5.4042993|Abdijlaan
64|N4583643618|51.4183852|5.4114569|Hagendorenseweg
64|N4583643622|51.4198641|5.4489300|Palestrinastraat
64|N4583643623|51.4197921|5.4532107|Verdistraat
64|N4583643624|51.4201684|5.4575581|Reinkenstraat
64|N4583643625|51.4193092|5.4616410|Nicolaistraat
64|N4583643626|51.4221503|5.4642842|Sibeliuslaan
64|N4583643627|51.4268355|5.4688432|Camphuysenstraat
64|N4583643628|51.4304255|5.4716158|Rivierstraat
64|N4583643629|51.4328473|5.4721568|Heilig Hartkerk
64|N4583643630|51.4184461|5.5153752|Bunderkensven
64|N4583643631|51.4172323|5.5108858|Kanunnikensven
64|N4583643632|51.4172439|5.5092850|Kanunnikensven
64|N4583643633|51.4186924|5.5063527|Hertensprong
64|N4583643634|51.4217421|5.5019435|Lavendelstraat
64|N4583643635|51.4238959|5.4981082|Thomas à Kempislaan
64|N4583643636|51.4265132|5.4931934|St. Servaasweg
64|N4583643689|51.4320474|5.4037861|Polders
64|N4583643690|51.4434831|5.4401673|Gezondheidscentrum Strijp
64|N4583643696|51.4079008|5.4250266|Ontginningsweg
64|N4584131645|51.4682709|5.7074777|Molenbeek
64|N4584131650|51.4589751|5.7073700|Hertelaan
64|N4584131651|51.4598982|5.6966346|Rijtse Hoeve
64|N4584131652|51.4629899|5.6975040|Rivierensingel
64|N4584131653|51.4817218|5.6814985|Geysendorfferstraat
64|N4584132027|51.4830637|5.6844262|Fokkerlaan
64|N4584132028|51.4795225|5.6826384|Straakvense Bosdijk
64|N4584132029|51.4776280|5.6831456|De Lier
64|N4584132030|51.4769341|5.6863906|Sportterrein Swift
64|N4584132031|51.4747542|5.6869965|Van Speijklaan
64|N4584132032|51.4758115|5.6819528|Trompstraat
64|N4584132033|51.4762673|5.6789798|Begoniastraat
64|N4584132034|51.4766187|5.6751674|Bernadettekerk
64|N4584132037|51.4836260|5.6803471|Zeppelinstraat
64|N4584132038|51.4776444|5.7024868|Volderhof
64|N4584132048|51.4754524|5.6978473|Veluwehof
64|N4584132049|51.4711534|5.6992800|Deltaweg
64|N4584315778|51.4596079|5.6306076|Sint Antoniusweg
